,Unnamed: 0,id,topic,from,to,contents,date,type
10,10,51,Setting up of DMF,SHRI RAMDAS C  TADAS,MINES,"(a) whether District Mineral Foundation (DMF) has
been set up in Maharashtra as per new order of the
Ministry dated 23 April, 2021; (b) if so, the details thereof and if not, the reasons for the delay; and (c) the details of the works carried out so far under
the Pradhan Mantri Khanij Kshetra Kalyan Yojana
(PMKKKY) for the welfare of the affected people in the
State, particularly in Wardha and Amaravati districts
during the last five years?",2021-12-01,STARRED
11,11,52,Advertising on OTT,SHRI SHRIRANG APPA BARNE & SHRI RAVI KISHAN,CONSUMER AFFAIRS,"(a) whether the advertising industry regulator, the
Advertising Standards Council of India (ASCI) proposes
to set up a task force to monitor and regulate advertising
on over-the-top (OTT) streaming platforms such as
Amazon, Netflix, etc. and if so, the details thereof; (b) whether the Ministry is working with the Ministry
of Information and Broadcasting (I&B) to form guidelines
and processes to monitor advertising on these platforms
and if so, the details thereof; (c) whether the ASCI is also working closely in
partnership with the Government entities like Central
Consumer Protection Authority, Ministry of I&B, Ministry
of AYUSH, etc. to fine-tune existing guidelines and
formulate new ones and if so, the progress made in this
direction; and (d) whether the regulatory body also proposes to
set up a taskforce to scrutinize brand promotions weaved
in content programming claiming health or immunity
benefits and if so, the details thereof?",2021-12-01,STARRED
12,12,53,Private Sector Investment,SHRI MOHAMMED FAIZAL P P,COMMERCE AND INDUSTRY,"(a) the amount of investment made by the private sector in new projects since 2019, year-wise;  
 . (b) whether there has been a decline in new private sector investment in the country; and (c) if so, the details thereof and the reasons therefor?",2021-12-01,STARRED
13,13,54,ROB at Sandila Railway Station,SHRI ASHOK KUMAR RAWAT,RAILWAYS,"(a) whether, after completing all the formalities by
the State Government regarding construction of an Over
Bridge at Sandila Railway Station in Hardoi district
under Misrikh(UP) Parliamentary Constituency, the
Principal Secretary, Public Works Department, Section-II
has requested the General Manager, Northern Railway,
New Delhi vide letter dated 15 December,2020 to include
the said Rail Over Bridge in the railway works programme
and apprise the State Government regarding approval of
the Railways and cost sharing in construction of the
said Rail Over Bridge; (b) if so, the details thereof; (c) whether requests have also been received through
public representatives in this regard during the last one
year and the current year till date; and (d) if so, the up to date status of the action taken in this regard?",2021-12-01,STARRED
14,14,55,Coal Shortage,SHRI Y S  AVINASH REDDY,COAL,"(a) whether the attention of the Government has
been drawn to the coal shortage being experienced by
the thermal power plants in the country; (b) if so, the details thereof and the reasons for the shortage; (c) whether the Government of Andhra Pradesh has
requested for making available sufficient coal to run the
power plants in the State; (d) if so, the response of the Union Government in this regard; and (e) the remedial measures being taken by the
Government to alleviate the coal shortage and to meet
the demand in the country?",2021-12-01,STARRED
15,15,56,Startup India Scheme,SHRI KRUPAL BALAJI TUMANE,COMMERCE AND INDUSTRY,"(a) the salient features of the Startup India Scheme; (b) the details of the funds sanctioned, allocated
and utilized so far in Maharashtra under the said scheme; 14 (c) the details of the targets fixed and achievements made so far; (d) whether the Government has conducted
workshops under this scheme in Maharashtra to
encourage women entrepreneurship; (e) if so, the details thereof, district-wise; and (f) the details of the outcome of these workshops?",2021-12-01,STARRED
16,16,57,Production Linked Incentive Scheme,DR  ALOK KUMAR SUMAN,PLANNING,"(a) whether the Government has introduced a
Production Linked Incentive Scheme for enhancing
manufacturing capabilities in the country and if so, the
details thereof; (b) the steps taken by the Government to provide
financial assistance to the companies for establishing
their units in backward States of the country; and (c) the details of the companies which have
established their units in collaboration with the
Government of Bihar under the Production Linked
Incentive Scheme, district-wise?",2021-12-01,STARRED
17,17,58,PM Gati Shakti Project,SHRI MANICKAM TAGORE B,PLANNING,"(a) whether it is a fact that the Government has
launched a project called PM Gati Shakti to boost infra
projects in the country; (b) whether it is also a fact that many ongoing infra
projects in the country are stalled because of cost
overrun due to the Government’s inactive steps; (c) if so, the steps taken by the Government to
complete the ongoing pending projects in a time bound
manner; and NEW DELHI;
November 26, 2021
Agrahayana 5, 1943 (Saka)  
 . (d) the response received in review meetings held in
connection with the stalled projects and the steps taken
by the Government to address them?",2021-12-01,STARRED
18,18,59,Supply of Coal to Power Companies,SHRI CHANDESHWAR PRASAD,COAL,"(a) whether the Government is aware that the
quantity of coal supplied to power companies was more
than the previous year and yet electricity production
was affected due to shortage of coal; (b) if so, the details thereof; (c) whether the responsibility for the lapse has been fixed; and (d) the details of action taken against those found guilty?",2021-12-01,STARRED
19,19,60,Dedicated Freight Corridor Projects,DR  SHRIKANT EKNATH SHINDE & DR  HEENA GAVIT,RAILWAYS,"(a) the details of the Dedicated Freight Corridor Projects (DFC); (b) the details of funds allocated, sanctioned and
disbursed in the past five years and the current year for
the purpose, State/ Union Territory-wise; (c) whether cost has increased due to the slow pace
of work related to these projects and if so, the details
thereof; (d) the details of the acquisition of land between
such corridors along with the details of land acquired
and compensation and rehabilitation processes
undertaken; and (e) the other steps being taken by the Government in this regard? UTPAL KUMAR SINGH
Secretary General",2021-12-01,STARRED
20,20,461,Special Recruitment Drive,SHRI GAJENDRA SINGH PATEL,PRIME MINISTER,"(a) whether any special recruitment drive is likely to
be launched for backlog vacancies in the ensuing period
and if so, the details thereof along with the time by
which the backlog vacancies are likely to be filled; (b) the department-wise details of the vacant posts of all the departments; and (c) whether there is any plan to launch separate
recruitment drive in Aspirational Districts and if so, the
details thereof?",2021-12-01,UNSTARRED
21,21,462,New CCEA Policy,SHRI SUSHIL KUMAR SINGH,PLANNING,"(a) whether it is a fact that as per the new CCEA
policy, in order to challenge the arbitration awards given
by the courts, the Government Entities like GOI Deptts/
PSUs/SPVs will only take the decision to initiate
proceedings for setting aside of the arbitral award with
the opinion of the Law Officer in consultation with
Department of Legal Affairs; (b) if so, the details thereof; (c) whether it is also a fact that, where a Government
Entity has challenged an arbitral award, shall immediately
pay as per the court order, an interim payment of 75%
to the contractor /concessionaire against a bank
guarantee; and (d) if so, the details thereof and the number of cases
wherein interim payment of 75% were made during the
last two years?",2021-12-01,UNSTARRED
22,22,463,Lightning Incidents,SHRI JASWANT SINGH BHABHOR &  & SHRI RANJEETSINGH HINDURAO NAIK NIMBALKAR & SHRI BALAK NATH & SHRI SUMEDHANAND SARASWATI & SHRI S  JAGATHRAKSHAKAN,EARTH SCIENCES,"(a) the occurred during States in which the incidents of lightning strikers have the last three years; (b) the number of people who died due to lightning strikes, State-wise; (c) the details of the assistance provided by the
Government to the families of those killed by lightning
strikes; and (d) whether there has been an increase in the
incidents of lightning strikes in the country including
Tribal areas of Gujarat due to deforestation and if so, the
concrete steps being taken by the Government to stop
illegal cutting of forests to reduce the incidents of
lightning?",2021-12-01,UNSTARRED
23,23,464,Research and Development on Cow Science,SHRIMATI RAKSHA NIKHIL KHADSE & SHRI MANOJ KOTAK,SCIENCE AND TECHNOLOGY,"(a) whether the Government has any proposal to
emphasis on Research & Development on Cow Science,
the Indian old wisdom with new Technology for
Aatmanirbhar Bharat and to explore potentials of Indian
Cow & Panchagavya to bring forth the science of Cows;
and (b) if so, the details of the steps the Government is initiating in this regards? 90",2021-12-01,UNSTARRED
24,24,465,Mandatory use of Jute in Packaging,SHRI RAJA AMARESHWARA NAIK & SHRI BHOLA SINGH & DR  JAYANTA KUMAR ROY & SHRI VINOD KUMAR SONKAR & DR  SUKANTA MAJUMDAR,TEXTILES,"(a) whether the Government has recently approved
reservation norms for mandatory use of jute in packaging
for the Jute Year 2021-22; (b) if so, the details thereof; (c) whether recently the packaging norms make it
mandatory for 100 per cent of food grains be compulsorily
packed in jute bags; (d) if so, the details thereof; (e) the quantity/cost of Jute sacking bags procured
by the Government for packing foodgrains during the
last three years; and (f) the other steps taken/being taken by the
Government to ensure complete off-take of the
production of the jute sacking bags in order to protect
the interest of Jute farmers, workers and persons engaged
in the Jute Industry?",2021-12-01,UNSTARRED
25,25,466,Dues to Sugarcane Farmers,SHRI NALIN KUMAR KATEEL & SHRIMATI SUMALATHA AMBAREESH,CONSUMER AFFAIRS,"(a) the details of actual dues to be paid to sugarcane
farmers during the last three years, year-wise and State-
wise; (b) whether the Government is aware that there is a
huge difference in figures mentioned in Government
data and the Farmer’s association in regard to payments
due to sugarcane farmers; (d) if so, whether the Government has put any
mechanism to maintain the data of the sugarcane dues
to farmers; and (e) if so, the details thereof?",2021-12-01,UNSTARRED
26,26,467,NSSO Survey,KUNWAR DANISH ALI,STATISTICS  AND PROGRAMME IMPLEMENTATION,"(a) whether the Government determines the State-
wise number of the poor, poverty alleviation programme  
 . total gross domestic income change in consumer
expenditure pattern, etc. through National Sample Survey
Office(NSSO); (b) if so, the reasons for not preparing the report after 2011-12 till date; (c) whether the data of the year 2017-18 has been made public; and (d) if so, the details thereof along with the reasons therefor?",2021-12-01,UNSTARRED
27,27,468,e-Governance Projects,SHRI SANGANNA AMARAPPA & SHRI L S  TEJASVI SURYA & SHRI PRATHAP SIMHA & DR  UMESH G  JADHAV,ELECTRONICS  AND INFORMATION TECHNOLOGY,"(a) whether the Government plans to introduce
e-Governance as a service at a national level akin to the
Janasevaka and Janaspandana digital services launched
in the State of Karnataka and if so, the details thereof;
and (b) whether the Government has taken measures to
scale the successfully running e-Governance projects in
the State of Karnataka - Kutumba and FRUITS on a
national level and if so, the details thereof?",2021-12-01,UNSTARRED
28,28,469,"Patents  Rules,  2021",DR  JAYANTA KUMAR ROY & DR  SUKANTA MAJUMDAR & SHRI BHOLA SINGH & SHRI RAJA AMARESHWARA NAIK & SHRI VINOD KUMAR SONKAR,COMMERCE AND INDUSTRY,"(a) whether the Government has recently
made amendments in the Patents Rules and notified the
Patents (Amendment) Rules, 2021 and if so, the details
thereof; (b) whether the Government has extended the
benefits of 80% reduced fee for patent filing and
prosecution to educational institutions; (c) if so, the details thereof; (d) whether the Government has launched any
Scheme for facilitating Startups Intellectual Property
Protection (SIPP); (e) if so, the details thereof; and (f) the other steps being taken by the Government
in strengthening its intellectual property ecosystem in
recent years? 91",2021-12-01,UNSTARRED
29,29,470,Post Payment Bank,SHRI RAHUL RAMESH SHEWALE & SHRI CHANDRA SEKHAR SAHU & DR  PRITAM GOPINATHRAO MUNDE & SHRI GIRISH BHALCHANDRA BAPAT,COMMUNICATIONS,"(a) whether Post Payment Bank was established
under the Department of Posts with 100% equity owned
by the Union Government and if so, the details thereof; (b) whether India Post Payments Bank (IPPB) has
signed any partnership deal with Bajaj Allianz Life
Insurance Company; (c) if so, the details, salient features of the said
partnership deal and percentage of partnership of Bajaj
Allianz Life Insurance Company in the IPPB; (d) whether Department of Posts has made any
assessment of the partnership deal as to how it will be
beneficial to them keeping in view of their tremendous
infrastructure all over the country as compared to their
counterpart; and (e) if so, the details in thereof?",2021-12-01,UNSTARRED
30,30,471,Impact of Lockdown on Production,SHRIMATI SUMALATHA AMBAREESH & SHRI D K SURESH & SHRI NALIN KUMAR KATEEL,COMMERCE AND INDUSTRY,"(a) whether the Government has conducted any
study on performance of production of major commodity
groups to assess the impact of COVID-19 lockdown on
these sectors; (b) if so, the details thereof; (c) whether the Government has also conducted any
study on the impact of COVID-19 on exports of the
country; (d) if so, the details thereof; and (e) the details of the measures taken by the
Government to improve the productivity of major
commodity groups in the coming days?",2021-12-01,UNSTARRED
31,31,472,ROB at LC-109,SHRI DEVJI M  PATEL,RAILWAYS,"(a) whether the three level crossing gates from 109
on the route of down train of North Western Railways passing through Ratanpur are closed simultaneously
resulting in hardships to citizens on this 15 Km. Malwada
to Ratanpur route and also proving fatal to patients in
ambulances due to longer waiting time at these level
crossings; (b) if so, the facts thereof; (c) whether owing to lack of funds, the construction
work of the rail over bridge at level crossing no.109
situated between Malwada to Raniwada railway station
is progressing slowly; and (d) if so, the details thereof?",2021-12-01,UNSTARRED
32,32,473,Losses due to Agitations,SHRI PARTHIBAN S R & SHRI THIRUNAVUKKARASAR SU & SHRI VIJAYAKUMAR (ALIAS) VIJAY VASANTH,RAILWAYS,"(a) whether a number of train services in the country
have been blocked by agitating farmers and other
organizations in the last few months; (b) if so, the details thereof and the estimated loss
incurred by Railways as a result thereof, Zone/Division-
wise; (c) the other steps taken by the Railways to facilitate
cancellation/refund of ticket fare of the stranded
passengers; (d) whether the Railways has also proposed to start regular train services as per pre-Covid fares; and (e) if so, the details thereof and the time by when the above proposal is likely to be implemented?",2021-12-01,UNSTARRED
33,33,474,Dues to Exporters,SHRI VENKATESH NETHA BORLAKUNTA & SHRI PASUNOORI DAYAKAR & SHRIMATI KAVITHA MALOTHU & DR  G  RANJITH REDDY,COMMERCE AND INDUSTRY,"(a) whether it is true that the Government is going
to clear Rs. 56,000 crore dues to exporters under various
Government schemes; (b) if so, the details of schemes under which
Government owes to exporters and how many MSME
exporters are going to be benefited therefrom; (c) the details of exporters from Telangana whose dues have to be cleared; and (d) the efforts being made by the Ministry to achieve the target of exporting US $ 400 billion in 2021-22? 92",2021-12-01,UNSTARRED
34,34,475,PLI Scheme,SHRI SANJAY BHATIA,ELECTRONICS  AND INFORMATION TECHNOLOGY,"(a) whether the Union Government and the State
Governments have formulated any scheme at national
level for spreading awareness about PLI scheme to
promote manufacturing in the country; (b) if so, the details thereof, State-wise; (c) whether any scheme has been formulated for
spreading the awareness of PLI scheme at constituency
level along with private industry, Government industry
level and at the level of other types of industries; (d) if so, the details thereof; (e) whether the Government proposes any scheme
to spread awareness about PLI scheme in the
constituency of Karnal; and (f) if so, the State-wise details thereof?",2021-12-01,UNSTARRED
35,35,476,Cyber Fraud,SHRI RAJBAHADUR SINGH & SHRI SANGAM LAL GUPTA & SHRI MAHENDRA SINGH SOLANKY & SHRIMATI SANDHYA RAY & DR  KRISHNA PAL SINGH YADAV & SHRI P P  CHAUDHARY,ELECTRONICS  AND INFORMATION TECHNOLOGY,"(a) the details of consumer complaints related to
cyber fraud registered on National Consumer Helpline in
the past two years; (b) whether the Government is taking adequate
measures to effectively address the rising number of
cyber fraud complaints and if so, the details thereof; and (c) whether the Government is formulating an
awareness initiative to prevent common cyber frauds
and if so, the details thereof and if not, reasons therefor;",2021-12-01,UNSTARRED
36,36,477,Use of Social Media in Elections,SHRI MITESH RAMESHBHAI PATEL (BAKABHAI),ELECTRONICS  AND INFORMATION TECHNOLOGY,"(a) the details of the steps taken by the Government
to prevent and regulate fake social media platform news
and dissemination of wrong information; and  
 . (b) the details of the measures taken by the
Government to prevent misuse of social media platform
and to remove illegal content during election campaign?",2021-12-01,UNSTARRED
37,37,478,NEIA Scheme,SHRI PARBATBHAI SAVABHAI PATEL & SHRI NARANBHAI KACHHADIYA,COMMERCE AND INDUSTRY,"(a) the purpose of National Export Insurance Account Scheme (NEIA); (b) whether the Government has accorded approval
for continuance of the scheme and has approved financial
aid for more than five years; (c) if so, the details thereof; (d) whether districts of the States are given
incentives to work as export hubs under the scheme;
and (e) if so, the districts of Gujarat that will be given/ have been given incentives?",2021-12-01,UNSTARRED
38,38,479,Career Progression of Sportspersons,SHRI NARANBHAI KACHHADIYA & SHRI PARBATBHAI SAVABHAI PATEL & SHRI JASWANT SINGH BHABHOR,RAILWAYS,"(a) whether any scheme is being formulated by the
Government for career progression of sportspersons of
Railways; and (b) if so, the measures being taken by the
Government to encourage a large number of railway
sportspersons of Gujarat particularly of the rural and
tribal areas of Gujarat?",2021-12-01,UNSTARRED
39,39,480,LHB Coaches,SHRI ABDUL KHALEQUE,RAILWAYS,"(a) the current status of Linke Hofmann Busch
(LHB) coaches refurbishing facility at Bongaigaon
to wich the foundation stone was laid in February
2019; (b) the details of the facilities that started operations and the annual capacity of the factory; and (c) the total strength of permanent as well as temporary work force employed in the factory? 93",2021-12-01,UNSTARRED
40,40,481,Steel Utilization,SHRI MANNE SRINIVAS REDDY,STEEL,"(a) whether the Government has any proposal to
increase the installed capacity of steel and its utilization
including private and public sector; (b) if so, the details thereof; and (c) the steps being taken to meet the demands of
the steel industry in the country by enhancing its
capacity?",2021-12-01,UNSTARRED
41,41,482,Ramayana Yatra Train,SHRI PRATAPRAO JADHAV & SHRI SUBRAT PATHAK & SHRI SUDHEER GUPTA & SHRI RAVI KISHAN & SHRI RAVINDRA KUSHWAHA & SHRI SANJAY SADASHIVRAO MANDLIK & SHRIMATI MALA ROY & SHRI BIDYUT BARAN MAHATO & SHRI SHRIRANG APPA BARNE,RAILWAYS,"(a) whether the Government/IRCTC has started the
operation of a new train ‘Ramayana Yatra Train‘ from
Delhi recently with an objective to promote religious
tourism; (b) if so, the details thereof along with the route and the cities likely to be covered by the said train; (c) the details of the facilities that are likely
to be provided by the Government/IRCTC in such
trains; (d) whether the Government has issued any
guidelines for travel in such trains and if so, the details
thereof; and (e) the extent to which Railways is likely to be
benefitted in terms of revenue through such special
trains?",2021-12-01,UNSTARRED
42,42,483,Fake News,SHRI SHRINIWAS PATIL,ELECTRONICS  AND INFORMATION TECHNOLOGY,"(a) whether the Government has any mechanism to
identify and stop the spread of fake news on social
media platforms, news channels and online portals; and (b) if so, provide details thereof and if not, the reasons therefor?  
 .",2021-12-01,UNSTARRED
43,43,484,Made-in-India Programme,SHRI RAJAN VICHARE,TEXTILES,"(a) the types of textile related Indian jobs and
businesses which have been promoted by the Ministry
under “Make-in-India” programme? (b) whether the scheme is being implemented in the State of Maharashtra; and (c) if so, the details thereof and if not, the reasons therefor?",2021-12-01,UNSTARRED
44,44,485,Restart of Season Ticketing System,SHRI RAJMOHAN UNNITHAN,RAILWAYS,"(a) whether several trains and stoppages which
were suspended in Kerala pre COVID-19 have been
restored; (b) if so, the details thereof along with the details of
trains and stoppages in North Kerala that have not
resumed; (c) whether the Government has noticed that the
season ticketing system, which was discontinued as
part of the Covid -19 regulations, is not fully operational
in North Kerala, especially in the Kannur and Kasaragod
districts; and (d) if so, the action proposed to be taken to re-
establish the season ticketing system, suspended trains
and stoppages in the Kasaragod district?",2021-12-01,UNSTARRED
45,45,486,Investment in Atomic Energy Sector,SHRI DHARAMBIR SINGH,PRIME MINISTER,"(a) whether domestic investment is not adequate for the production of atomic energy in the country; (b) if so, the reasons therefor and the details thereof; (c) whether any scheme has been formulated to
promote domestic and foreign direct investment in atomic
energy sector; (d) if so, the details thereof; (e) whether there is any plan to set up a plant in Haryana for the production of atomic energy; and (f) if so, the details thereof? 94",2021-12-01,UNSTARRED
46,46,487,Law for Cyber Security,SHRI A  RAJA,ELECTRONICS  AND INFORMATION TECHNOLOGY,"(a) whether the Government is considering stand-
alone law for cyber security in the country to cater to
new age cyber crimes and if so, the details thereof; (b) whether the proposed policy would keep in mind
aboutthe emerging technologies in the cyber security, if
so, any study made to review the policy; and (c) the details of the timileline by which the draft policy would be ready for public scrutiny?",2021-12-01,UNSTARRED
47,47,488,Solar Energy Projects on Unused Land,SHRIMATI POONAMBEN MAADAM,RAILWAYS,"(a) whether the Government is considering
establishment of solar energy projects on its unused
land; (b) if so, the details of location, State-wise, including Gujarat; and (c) the details of time line to begin and complete projects in Gujarat?",2021-12-01,UNSTARRED
48,48,489,Resources for addressing Human Trafficking Cases,SHRI KUMBAKUDI SUDHAKARAN & SHRI KODIKUNNIL SURESH & SHRI BENNY BEHANAN & SHRI D K SURESH,RAILWAYS,"(a) whether any SOPs have been issued for curbing
and/or investigation of human trafficking through
railways and the rescue of such human trafficking
victims; (b) if so, the details thereof and if not, the reasons therefor; (c) whether any budgetary allocations have been
made towards addressing human trafficking issues
through the railways; (d) if so, the details of allocations and funds released from 2014 till date, and if not, the reasons therefor; (e) whether any budgetary allocations have been
made towards training of Railway Protection Force on
human trafficking cases; and (f) if so, the details of allocations and funds released from 2014 till date, and if not, the reasons therefor?",2021-12-01,UNSTARRED
49,49,490,Anti-Corruption Act,SHRI GOPAL CHINNAYA SHETTY,PRIME MINISTER,"(a) whether the Government has taken steps to
amend prevention of corruption Act - 1988 to include
strict provision so that corruption can totally controlled
from lower level to high level stage in the country; (b) the State-wise number of officers involved in
corruption during each of the last three years and the
current year; (c) the State-wise details of municipal corporations
officers involved in corruption during the said period;
and (d) the action taken/proposed to be taken against them?",2021-12-01,UNSTARRED
50,50,491,Data on Edible Oil,DR  DNV SENTHILKUMAR  S & SHRI ANTO ANTONY & SHRI RAJENDRA DHEDYA GAVIT & DR  AMOL RAMSING KOLHE & SHRIMATI SUPRIYA SULE & DR  SUBHASH RAMRAO BHAMRE & SHRI SUNIL DATTATRAY TATKARE & SHRI KULDEEP RAI SHARMA,CONSUMER AFFAIRS,"(a) the per capita availability and consumption of
edible oil and pulses in the country during each of the
last three years and the current year; (b) whether the gap between demand and supply of
pulses, edible oils and other such commodities has led
to rising prices and further dependence on imports of
these commodities and if so, the details thereof; (c) the details of production, demand, import and
prices of the aforesaid commodities during the last three
years; (d) the steps taken/proposed to be taken to improve
the domestic availability and to keep prices under control; (e) whether the Government has any proposal to
supply the aforesaid commodities to the consumers at
subsidized rates and if so, the details thereof; and (f) the other steps taken by the Government to cut
down the imports from foreign countries and make the
country self-reliant in pulses and edible oil?",2021-12-01,UNSTARRED
51,51,492,Mineral Blocks,SHRI M  BADRUDDIN AJMAL,MINES,"(a) the details and the number of mine blocks of Iron
Ore, minor minerals, Aluminium and Copper, Manganese,
Bauxite and sand currently located in Assam; (b) the names and the number of mines which are in operational state and those that are not operational; (c) the reasons for closing mine specially mineral blocks in Assam; (d) the total number of mine blocks auction during
the last five years in the country including the detail of
the revenue Government earned from these mines blocks
during last five years; and (e) the measures taken/to be taken by Government to curb illegal mining?",2021-12-01,UNSTARRED
52,52,493,National Institute,SHRI KRIPANATH MALLAH,ELECTRONICS  AND INFORMATION TECHNOLOGY,"(a) whether the Government has planned to establish
the National Institute of Electronics and Information
Technology Centres in the State of Assam and if so, the
details thereof; (b) the details of the funds estimated and targets set for the same; (c) whether the Government has identified the
locations for these centres in the State of Assam; and (d) if so, the district-wise details thereof and the time by when they are likely to be established?",2021-12-01,UNSTARRED
53,53,494,Proposed Policies of DBT,SHRI MALOOK NAGAR,CONSUMER AFFAIRS,"(a) the number of schemes which have been
announced and recommended to the States under the
DBT scheme by the Central Government; and (b) the number of States which have fully or partly accepted this scheme along with the details thereof?",2021-12-01,UNSTARRED
54,54,495,Shortage of Coal,SHRI ANTO ANTONY & SHRI HANUMAN BENIWAL & SHRI SUSHIL KUMAR SINGH & SHRI RAMESH BIDHURI,COAL,"(a) whether the Government has noticed acute shortage of coal in various parts of the country; (b) if so, the details and reasons therefor along with
shortage reported during the last six months, month-
wise and State-wise; (c) the steps taken by the Government to find
permanent solution to said crisis and also ensure
sufficient coal production in the country; (d) whether the Government is going to import coal
from abroad to meet the domestic demand and if so, the
names of the countries and companies from where coal
is being imported to meet the domestic demand; and (e) whether the Government has any plan to fully
privatize the coal sector and if so, the details thereof
along with the steps taken by the Government in this
regard?",2021-12-01,UNSTARRED
55,55,496,STI Hubs,SHRI D K SURESH,SCIENCE AND TECHNOLOGY,"(a) whether it is a fact that the Government proposes
to set up Science Technology and Innovation (STI)
Hubs in different parts of the country for Scheduled
Tribes (STs) by the end of 2022; (b) if so, the details thereof; (c) the salient features of the STI Hubs proposed to be set up for STs; (d) whether the Government has earmarked any funds for the said program; and (e) if so, the details thereof along with the targets fixed to be achieved under the program?",2021-12-01,UNSTARRED
